,time,sd,year,day,decade
334,1961-03-01,,1961,1,1960
335,1961-03-02,,1961,2,1960
336,1961-03-03,,1961,3,1960
337,1961-03-04,,1961,4,1960
338,1961-03-05,,1961,5,1960
339,1961-03-06,,1961,6,1960
340,1961-03-07,,1961,7,1960
341,1961-03-08,,1961,8,1960
342,1961-03-09,,1961,9,1960
343,1961-03-10,,1961,10,1960
344,1961-03-11,,1961,11,1960
345,1961-03-12,,1961,12,1960
346,1961-03-13,,1961,13,1960
347,1961-03-14,,1961,14,1960
348,1961-03-15,,1961,15,1960
349,1961-03-16,,1961,16,1960
350,1961-03-17,,1961,17,1960
351,1961-03-18,,1961,18,1960
352,1961-03-19,,1961,19,1960
353,1961-03-20,,1961,20,1960
354,1961-03-21,,1961,21,1960
355,1961-03-22,,1961,22,1960
356,1961-03-23,,1961,23,1960
357,1961-03-24,,1961,24,1960
358,1961-03-25,,1961,25,1960
359,1961-03-26,,1961,26,1960
360,1961-03-27,,1961,27,1960
361,1961-03-28,,1961,28,1960
362,1961-03-29,,1961,29,1960
363,1961-03-30,,1961,30,1960
364,1961-03-31,,1961,31,1960
365,1961-04-01,0.040322408,1961,1,1960
366,1961-04-02,0.040645357,1961,2,1960
367,1961-04-03,0.04085228,1961,3,1960
368,1961-04-04,0.04100951,1961,4,1960
369,1961-04-05,0.041142594,1961,5,1960
370,1961-04-06,0.041313756,1961,6,1960
371,1961-04-07,0.041530848,1961,7,1960
372,1961-04-08,0.041716408,1961,8,1960
373,1961-04-09,0.042002786,1961,9,1960
374,1961-04-10,0.042245004,1961,10,1960
375,1961-04-11,0.0425271,1961,11,1960
376,1961-04-12,0.042825546,1961,12,1960
377,1961-04-13,0.04302423,1961,13,1960
378,1961-04-14,0.043111157,1961,14,1960
379,1961-04-15,0.043141466,1961,15,1960
380,1961-04-16,0.043242585,1961,16,1960
381,1961-04-17,0.04359244,1961,17,1960
382,1961-04-18,0.044222225,1961,18,1960
383,1961-04-19,0.044453677,1961,19,1960
384,1961-04-20,0.044582274,1961,20,1960
385,1961-04-21,0.04468119,1961,21,1960
386,1961-04-22,0.044972967,1961,22,1960
387,1961-04-23,0.04540186,1961,23,1960
388,1961-04-24,0.04499079,1961,24,1960
389,1961-04-25,0.04415242,1961,25,1960
390,1961-04-26,0.0432239,1961,26,1960
391,1961-04-27,0.042485725,1961,27,1960
392,1961-04-28,0.04183978,1961,28,1960
393,1961-04-29,0.041402612,1961,29,1960
394,1961-04-30,0.04098389,1961,30,1960
395,1961-05-01,,1961,1,1960
396,1961-05-02,,1961,2,1960
397,1961-05-03,,1961,3,1960
398,1961-05-04,,1961,4,1960
399,1961-05-05,,1961,5,1960
400,1961-05-06,,1961,6,1960
401,1961-05-07,,1961,7,1960
402,1961-05-08,,1961,8,1960
403,1961-05-09,,1961,9,1960
404,1961-05-10,,1961,10,1960
405,1961-05-11,,1961,11,1960
406,1961-05-12,,1961,12,1960
407,1961-05-13,,1961,13,1960
408,1961-05-14,,1961,14,1960
409,1961-05-15,,1961,15,1960
410,1961-05-16,,1961,16,1960
411,1961-05-17,,1961,17,1960
412,1961-05-18,,1961,18,1960
413,1961-05-19,,1961,19,1960
414,1961-05-20,,1961,20,1960
415,1961-05-21,,1961,21,1960
416,1961-05-22,,1961,22,1960
417,1961-05-23,,1961,23,1960
418,1961-05-24,,1961,24,1960
419,1961-05-25,,1961,25,1960
420,1961-05-26,,1961,26,1960
421,1961-05-27,,1961,27,1960
422,1961-05-28,,1961,28,1960
423,1961-05-29,,1961,29,1960
424,1961-05-30,,1961,30,1960
425,1961-05-31,,1961,31,1960
426,1961-06-01,,1961,1,1960
427,1961-06-02,,1961,2,1960
428,1961-06-03,,1961,3,1960
429,1961-06-04,,1961,4,1960
430,1961-06-05,,1961,5,1960
431,1961-06-06,,1961,6,1960
432,1961-06-07,,1961,7,1960
433,1961-06-08,,1961,8,1960
434,1961-06-09,,1961,9,1960
435,1961-06-10,,1961,10,1960
436,1961-06-11,,1961,11,1960
437,1961-06-12,,1961,12,1960
438,1961-06-13,,1961,13,1960
439,1961-06-14,,1961,14,1960
440,1961-06-15,,1961,15,1960
441,1961-06-16,,1961,16,1960
442,1961-06-17,,1961,17,1960
443,1961-06-18,,1961,18,1960
444,1961-06-19,,1961,19,1960
445,1961-06-20,,1961,20,1960
446,1961-06-21,,1961,21,1960
447,1961-06-22,,1961,22,1960
448,1961-06-23,,1961,23,1960
449,1961-06-24,,1961,24,1960
450,1961-06-25,,1961,25,1960
451,1961-06-26,,1961,26,1960
452,1961-06-27,,1961,27,1960
453,1961-06-28,,1961,28,1960
454,1961-06-29,,1961,29,1960
455,1961-06-30,,1961,30,1960
456,1961-07-01,,1961,1,1960
457,1961-07-02,,1961,2,1960
458,1961-07-03,,1961,3,1960
459,1961-07-04,,1961,4,1960
460,1961-07-05,,1961,5,1960
461,1961-07-06,,1961,6,1960
462,1961-07-07,,1961,7,1960
463,1961-07-08,,1961,8,1960
464,1961-07-09,,1961,9,1960
465,1961-07-10,,1961,10,1960
466,1961-07-11,,1961,11,1960
467,1961-07-12,,1961,12,1960
468,1961-07-13,,1961,13,1960
469,1961-07-14,,1961,14,1960
470,1961-07-15,,1961,15,1960
471,1961-07-16,,1961,16,1960
472,1961-07-17,,1961,17,1960
473,1961-07-18,,1961,18,1960
474,1961-07-19,,1961,19,1960
475,1961-07-20,,1961,20,1960
476,1961-07-21,,1961,21,1960
477,1961-07-22,,1961,22,1960
478,1961-07-23,,1961,23,1960
479,1961-07-24,,1961,24,1960
480,1961-07-25,,1961,25,1960
481,1961-07-26,,1961,26,1960
482,1961-07-27,,1961,27,1960
483,1961-07-28,,1961,28,1960
484,1961-07-29,,1961,29,1960
485,1961-07-30,,1961,30,1960
486,1961-07-31,,1961,31,1960
487,1961-08-01,,1961,1,1960
488,1961-08-02,,1961,2,1960
489,1961-08-03,,1961,3,1960
490,1961-08-04,,1961,4,1960
491,1961-08-05,,1961,5,1960
492,1961-08-06,,1961,6,1960
493,1961-08-07,,1961,7,1960
494,1961-08-08,,1961,8,1960
495,1961-08-09,,1961,9,1960
496,1961-08-10,,1961,10,1960
497,1961-08-11,,1961,11,1960
498,1961-08-12,,1961,12,1960
499,1961-08-13,,1961,13,1960
500,1961-08-14,,1961,14,1960
501,1961-08-15,,1961,15,1960
502,1961-08-16,,1961,16,1960
503,1961-08-17,,1961,17,1960
504,1961-08-18,,1961,18,1960
505,1961-08-19,,1961,19,1960
506,1961-08-20,,1961,20,1960
507,1961-08-21,,1961,21,1960
508,1961-08-22,,1961,22,1960
509,1961-08-23,,1961,23,1960
510,1961-08-24,,1961,24,1960
511,1961-08-25,,1961,25,1960
512,1961-08-26,,1961,26,1960
513,1961-08-27,,1961,27,1960
514,1961-08-28,,1961,28,1960
515,1961-08-29,,1961,29,1960
516,1961-08-30,,1961,30,1960
517,1961-08-31,,1961,31,1960
518,1961-09-01,,1961,1,1960
519,1961-09-02,,1961,2,1960
520,1961-09-03,,1961,3,1960
521,1961-09-04,,1961,4,1960
522,1961-09-05,,1961,5,1960
523,1961-09-06,,1961,6,1960
524,1961-09-07,,1961,7,1960
525,1961-09-08,,1961,8,1960
526,1961-09-09,,1961,9,1960
527,1961-09-10,,1961,10,1960
528,1961-09-11,,1961,11,1960
529,1961-09-12,,1961,12,1960
530,1961-09-13,,1961,13,1960
531,1961-09-14,,1961,14,1960
532,1961-09-15,,1961,15,1960
533,1961-09-16,,1961,16,1960
534,1961-09-17,,1961,17,1960
535,1961-09-18,,1961,18,1960
536,1961-09-19,,1961,19,1960
537,1961-09-20,,1961,20,1960
538,1961-09-21,,1961,21,1960
539,1961-09-22,,1961,22,1960
540,1961-09-23,,1961,23,1960
541,1961-09-24,,1961,24,1960
542,1961-09-25,,1961,25,1960
543,1961-09-26,,1961,26,1960
544,1961-09-27,,1961,27,1960
545,1961-09-28,,1961,28,1960
546,1961-09-29,,1961,29,1960
547,1961-09-30,,1961,30,1960
