Time,precip_mm_ERA5_12km
1980-09-23,0.062
1980-09-24,0.023
1980-09-25,0.000
1980-09-26,0.020
1980-09-27,0.161
1980-09-28,0.013
1980-09-29,0.003
1980-09-30,1.157
1980-10-01,0.219
1980-10-02,0.407
1980-10-03,0.345
1980-10-04,1.257
1980-10-05,0.000
1980-10-06,0.620
1980-10-07,1.202
1980-10-08,6.738
1980-10-09,0.484
1980-10-10,3.322
1980-10-11,0.284
1980-10-12,0.000
1980-10-13,0.000
1980-10-14,0.021
1980-10-15,6.004
1980-10-16,0.374
1980-10-17,0.000
1980-10-18,0.037
1980-10-19,0.019
1980-10-20,0.023
1980-10-21,0.018
1980-10-22,0.000
1980-10-23,0.008
1980-10-24,0.126
1980-10-25,0.038
1980-10-26,0.086
1980-10-27,0.000
1980-10-28,0.092
1980-10-29,2.632
1980-10-30,0.171
1980-10-31,0.000
1980-11-01,0.000
1980-11-02,0.000
1980-11-03,0.005
1980-11-04,0.972
1980-11-05,1.419
1980-11-06,0.017
1980-11-07,2.609
1980-11-08,1.522
1980-11-09,0.107
1980-11-10,0.000
1980-11-11,0.000
1980-11-12,0.000
1980-11-13,0.061
1980-11-14,0.825
1980-11-15,0.037
1980-11-16,2.074
1980-11-17,1.204
1980-11-18,0.000
1980-11-19,0.001
1980-11-20,0.001
1980-11-21,2.135
1980-11-22,0.006
1980-11-23,0.002
1980-11-24,0.031
1980-11-25,0.034
1980-11-26,0.001
1980-11-27,0.000
1980-11-28,1.810
1980-11-29,0.821
1980-11-30,0.020
1980-12-01,0.000
1980-12-02,0.000
1980-12-03,0.002
1980-12-04,0.011
1980-12-05,1.138
1980-12-06,0.096
1980-12-07,0.002
1980-12-08,0.000
1980-12-09,0.000
1980-12-10,0.000
1980-12-11,0.033
1980-12-12,0.007
1980-12-13,0.237
1980-12-14,2.764
1980-12-15,0.211
1980-12-16,0.208
1980-12-17,0.021
1980-12-18,0.000
1980-12-19,0.000
1980-12-20,0.000
1980-12-21,0.000
1980-12-22,0.000
1980-12-23,0.000
1980-12-24,0.000
1980-12-25,0.000
1980-12-26,0.000
1980-12-27,0.000
1980-12-28,0.000
1980-12-29,0.000
1980-12-30,0.000
1980-12-31,2.060
