Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1970-08-31,12.221,1.778,Aug
1970-09-01,0.849,2.540,Sep
1970-09-02,6.722,2.286,Sep
1970-09-03,0.180,16.256,Sep
1970-09-04,37.596,33.528,Sep
1970-09-05,0.799,0.762,Sep
1970-09-06,7.658,4.064,Sep
1970-09-07,1.077,1.524,Sep
1970-09-08,0.499,0.000,Sep
1970-09-09,0.000,0.000,Sep
1970-09-10,0.000,0.000,Sep
1970-09-11,0.121,0.254,Sep
1970-09-12,0.050,0.000,Sep
1970-09-13,0.219,0.000,Sep
1970-09-14,0.614,2.032,Sep
1970-09-15,2.556,0.254,Sep
1970-09-16,1.648,8.382,Sep
1970-09-17,0.974,1.270,Sep
1970-09-18,0.317,10.160,Sep
1970-09-19,0.526,6.858,Sep
1970-09-20,0.057,6.858,Sep
1970-09-21,0.268,0.254,Sep
1970-09-22,0.000,0.000,Sep
1970-09-23,0.007,0.000,Sep
1970-09-24,13.757,4.318,Sep
1970-09-25,20.239,58.166,Sep
1970-09-26,32.102,26.416,Sep
1970-09-27,21.150,11.938,Sep
1970-09-28,8.657,10.160,Sep
1970-09-29,0.948,14.478,Sep
1970-09-30,15.206,15.240,Sep
1970-10-01,6.980,21.082,Oct
1970-10-02,11.815,8.128,Oct
1970-10-03,0.000,0.000,Oct
1970-10-04,0.000,0.000,Oct
1970-10-05,0.690,0.508,Oct
1970-10-06,14.160,13.208,Oct
1970-10-07,0.052,0.254,Oct
1970-10-08,3.132,0.254,Oct
1970-10-09,28.606,16.002,Oct
1970-10-10,2.312,0.254,Oct
1970-10-11,11.098,15.748,Oct
1970-10-12,10.561,9.398,Oct
1970-10-13,20.071,28.702,Oct
1970-10-14,0.000,0.000,Oct
1970-10-15,12.174,16.002,Oct
1970-10-16,31.400,10.922,Oct
1970-10-17,42.871,1.524,Oct
1970-10-18,7.302,4.318,Oct
1970-10-19,0.747,0.254,Oct
1970-10-20,2.203,0.254,Oct
1970-10-21,15.713,1.270,Oct
1970-10-22,8.307,0.254,Oct
1970-10-23,0.000,0.000,Oct
1970-10-24,0.000,0.000,Oct
1970-10-25,0.015,0.000,Oct
1970-10-26,10.392,5.588,Oct
1970-10-27,1.016,1.016,Oct
1970-10-28,4.935,0.254,Oct
1970-10-29,19.248,29.210,Oct
1970-10-30,33.966,39.624,Oct
1970-10-31,12.870,35.814,Oct
1970-11-01,4.943,5.334,Nov
1970-11-02,2.099,13.462,Nov
1970-11-03,1.046,3.810,Nov
1970-11-04,2.620,0.762,Nov
1970-11-05,0.104,0.254,Nov
1970-11-06,0.016,0.000,Nov
1970-11-07,0.620,7.112,Nov
1970-11-08,0.331,0.000,Nov
1970-11-09,0.000,0.254,Nov
1970-11-10,2.539,2.794,Nov
1970-11-11,3.946,3.048,Nov
1970-11-12,22.838,12.192,Nov
1970-11-13,3.610,1.778,Nov
1970-11-14,2.008,0.000,Nov
1970-11-15,0.599,0.000,Nov
1970-11-16,0.000,0.000,Nov
1970-11-17,2.686,5.334,Nov
1970-11-18,0.966,0.000,Nov
1970-11-19,0.002,0.000,Nov
1970-11-20,2.481,1.270,Nov
1970-11-21,0.062,14.478,Nov
1970-11-22,1.291,0.254,Nov
1970-11-23,0.042,0.000,Nov
1970-11-24,0.198,0.000,Nov
1970-11-25,1.135,0.254,Nov
1970-11-26,0.000,0.000,Nov
1970-11-27,0.896,0.508,Nov
1970-11-28,0.096,0.254,Nov
1970-11-29,0.000,0.000,Nov
1970-11-30,0.000,0.000,Nov
1970-12-01,0.000,0.000,Dec
1970-12-02,0.000,0.000,Dec
1970-12-03,0.028,0.000,Dec
1970-12-04,0.016,0.000,Dec
1970-12-05,0.000,0.000,Dec
1970-12-06,3.112,0.254,Dec
1970-12-07,5.319,2.032,Dec
1970-12-08,5.857,9.398,Dec
1970-12-09,7.008,0.508,Dec
1970-12-10,8.055,5.842,Dec
1970-12-11,14.969,4.318,Dec
1970-12-12,9.351,2.032,Dec
1970-12-13,18.579,12.700,Dec
1970-12-14,13.123,14.986,Dec
1970-12-15,0.027,0.000,Dec
1970-12-16,0.000,0.000,Dec
1970-12-17,0.002,3.302,Dec
1970-12-18,1.871,0.254,Dec
1970-12-19,0.068,0.254,Dec
1970-12-20,0.044,0.000,Dec
1970-12-21,19.737,12.700,Dec
1970-12-22,0.032,0.254,Dec
1970-12-23,45.570,37.592,Dec
1970-12-24,20.688,21.590,Dec
1970-12-25,26.709,31.242,Dec
1970-12-26,12.051,12.446,Dec
1970-12-27,9.061,9.398,Dec
1970-12-28,0.141,0.000,Dec
1970-12-29,2.549,10.160,Dec
1970-12-30,6.251,0.000,Dec
1970-12-31,0.000,0.000,Dec
1971-01-01,0.005,0.762,Jan
1971-01-02,15.553,3.302,Jan
