Time,precip_mm_ERA5_4km,FAIRBANKS INTL AP,month
1981-06-10,1.392,0.000,Jun
1981-06-11,1.947,0.254,Jun
1981-06-12,2.327,0.254,Jun
1981-06-13,0.000,0.254,Jun
1981-06-14,15.259,0.000,Jun
1981-06-15,0.021,0.254,Jun
1981-06-16,0.000,0.000,Jun
1981-06-17,0.000,0.000,Jun
1981-06-18,0.419,0.000,Jun
1981-06-19,0.000,0.000,Jun
1981-06-20,0.005,0.254,Jun
1981-06-21,0.616,0.508,Jun
1981-06-22,0.091,0.000,Jun
1981-06-23,0.000,0.000,Jun
1981-06-24,0.000,0.254,Jun
1981-06-25,5.829,3.302,Jun
1981-06-26,1.834,1.016,Jun
1981-06-27,20.565,32.258,Jun
1981-06-28,0.029,2.286,Jun
1981-06-29,7.073,1.016,Jun
1981-06-30,1.014,0.762,Jun
1981-07-01,1.899,0.254,Jul
1981-07-02,0.360,0.000,Jul
1981-07-03,0.000,0.000,Jul
1981-07-04,1.806,2.032,Jul
1981-07-05,15.612,7.874,Jul
1981-07-06,0.115,0.254,Jul
1981-07-07,4.859,3.556,Jul
1981-07-08,2.020,13.716,Jul
1981-07-09,4.159,0.254,Jul
1981-07-10,5.320,2.032,Jul
1981-07-11,7.906,5.842,Jul
1981-07-12,0.000,0.000,Jul
1981-07-13,0.205,0.508,Jul
1981-07-14,2.570,0.254,Jul
1981-07-15,3.879,0.254,Jul
1981-07-16,1.546,0.254,Jul
1981-07-17,11.359,3.302,Jul
1981-07-18,2.845,0.254,Jul
1981-07-19,2.715,0.254,Jul
1981-07-20,4.202,3.048,Jul
1981-07-21,0.940,2.032,Jul
1981-07-22,9.064,6.858,Jul
1981-07-23,9.898,0.000,Jul
1981-07-24,4.000,1.016,Jul
1981-07-25,9.205,0.762,Jul
1981-07-26,3.243,0.254,Jul
1981-07-27,0.212,0.000,Jul
1981-07-28,3.258,1.778,Jul
1981-07-29,1.931,2.794,Jul
1981-07-30,0.529,0.762,Jul
1981-07-31,2.856,2.286,Jul
1981-08-01,19.686,4.064,Aug
1981-08-02,5.672,1.016,Aug
1981-08-03,0.000,0.000,Aug
1981-08-04,0.000,0.000,Aug
1981-08-05,0.016,0.000,Aug
1981-08-06,0.511,0.000,Aug
1981-08-07,0.050,0.000,Aug
1981-08-08,9.164,0.508,Aug
1981-08-09,1.895,0.762,Aug
1981-08-10,1.512,1.270,Aug
1981-08-11,0.274,0.254,Aug
1981-08-12,1.874,0.254,Aug
1981-08-13,3.621,1.270,Aug
1981-08-14,5.858,2.794,Aug
1981-08-15,2.014,6.350,Aug
1981-08-16,0.066,0.508,Aug
1981-08-17,0.000,0.000,Aug
1981-08-18,0.000,0.254,Aug
1981-08-19,2.322,1.016,Aug
1981-08-20,1.108,4.572,Aug
1981-08-21,2.184,9.652,Aug
1981-08-22,2.960,0.254,Aug
1981-08-23,0.000,0.000,Aug
1981-08-24,0.000,0.000,Aug
1981-08-25,0.000,0.000,Aug
1981-08-26,0.000,0.000,Aug
1981-08-27,0.000,0.000,Aug
1981-08-28,0.000,0.000,Aug
1981-08-29,0.000,0.000,Aug
1981-08-30,0.071,0.254,Aug
1981-08-31,0.000,0.000,Aug
1981-09-01,0.000,0.000,Sep
1981-09-02,0.000,0.000,Sep
1981-09-03,1.099,0.000,Sep
1981-09-04,3.136,0.254,Sep
1981-09-05,0.567,0.000,Sep
1981-09-06,0.021,0.254,Sep
1981-09-07,1.225,0.000,Sep
1981-09-08,1.650,0.000,Sep
1981-09-09,0.016,0.254,Sep
1981-09-10,11.703,3.048,Sep
1981-09-11,0.736,3.302,Sep
1981-09-12,0.000,0.254,Sep
1981-09-13,0.000,0.000,Sep
1981-09-14,0.000,0.000,Sep
1981-09-15,1.576,0.508,Sep
1981-09-16,0.062,0.000,Sep
1981-09-17,2.990,0.254,Sep
1981-09-18,3.729,0.254,Sep
1981-09-19,8.918,3.810,Sep
1981-09-20,1.485,3.556,Sep
1981-09-21,0.988,1.016,Sep
1981-09-22,0.002,0.254,Sep
1981-09-23,4.948,2.032,Sep
1981-09-24,0.218,1.016,Sep
1981-09-25,0.359,0.000,Sep
1981-09-26,0.003,1.270,Sep
1981-09-27,0.046,0.254,Sep
1981-09-28,0.157,0.254,Sep
1981-09-29,0.000,0.000,Sep
1981-09-30,0.009,0.000,Sep
1981-10-01,2.893,0.254,Oct
1981-10-02,0.002,0.254,Oct
1981-10-03,1.443,4.826,Oct
1981-10-04,5.618,1.270,Oct
1981-10-05,0.021,0.254,Oct
1981-10-06,0.014,0.254,Oct
1981-10-07,0.120,0.254,Oct
1981-10-08,3.333,2.032,Oct
1981-10-09,0.648,0.254,Oct
1981-10-10,1.747,1.016,Oct
1981-10-11,0.238,0.000,Oct
1981-10-12,0.077,0.254,Oct
1981-10-13,0.780,2.286,Oct
1981-10-14,0.125,0.000,Oct
1981-10-15,0.038,0.000,Oct
1981-10-16,0.030,0.254,Oct
1981-10-17,0.026,0.000,Oct
1981-10-18,0.245,0.000,Oct
1981-10-19,0.000,0.000,Oct
1981-10-20,0.000,0.000,Oct
