Time,precip_mm_ERA5_12km
1985-04-02,0.266
1985-04-03,0.730
1985-04-04,0.555
1985-04-05,0.110
1985-04-06,0.093
1985-04-07,0.060
1985-04-08,5.300
1985-04-09,3.691
1985-04-10,0.688
1985-04-11,0.792
1985-04-12,0.881
1985-04-13,0.136
1985-04-14,0.043
1985-04-15,0.035
1985-04-16,0.002
1985-04-17,0.000
1985-04-18,0.084
1985-04-19,0.708
1985-04-20,0.112
1985-04-21,0.046
1985-04-22,0.053
1985-04-23,0.023
1985-04-24,0.160
1985-04-25,0.077
1985-04-26,0.832
1985-04-27,0.184
1985-04-28,0.010
1985-04-29,0.009
1985-04-30,0.034
1985-05-01,0.003
1985-05-02,0.117
1985-05-03,0.046
1985-05-04,0.293
1985-05-05,0.087
1985-05-06,0.859
1985-05-07,2.076
1985-05-08,0.498
1985-05-09,1.781
1985-05-10,0.532
1985-05-11,0.005
1985-05-12,0.056
1985-05-13,0.707
1985-05-14,0.074
1985-05-15,0.215
1985-05-16,0.104
1985-05-17,1.594
1985-05-18,0.114
1985-05-19,0.694
1985-05-20,0.687
1985-05-21,0.004
1985-05-22,0.000
1985-05-23,0.000
1985-05-24,0.000
1985-05-25,0.000
1985-05-26,0.017
1985-05-27,1.209
1985-05-28,0.000
1985-05-29,1.241
1985-05-30,0.626
1985-05-31,0.211
1985-06-01,0.463
1985-06-02,0.000
1985-06-03,0.001
1985-06-04,0.618
1985-06-05,5.789
1985-06-06,2.283
1985-06-07,3.616
1985-06-08,0.505
1985-06-09,1.124
1985-06-10,0.000
1985-06-11,0.000
1985-06-12,0.877
1985-06-13,2.909
1985-06-14,4.252
1985-06-15,0.561
1985-06-16,16.010
1985-06-17,0.387
1985-06-18,2.690
1985-06-19,1.244
1985-06-20,0.046
1985-06-21,2.137
1985-06-22,0.021
1985-06-23,0.000
1985-06-24,0.024
1985-06-25,29.256
1985-06-26,7.988
1985-06-27,0.452
1985-06-28,0.011
1985-06-29,0.124
1985-06-30,3.674
1985-07-01,2.593
1985-07-02,1.527
1985-07-03,0.209
1985-07-04,0.497
1985-07-05,0.036
1985-07-06,0.002
1985-07-07,0.000
1985-07-08,14.984
1985-07-09,0.576
1985-07-10,6.484
1985-07-11,3.063
1985-07-12,11.222
1985-07-13,0.000
1985-07-14,10.033
1985-07-15,0.012
1985-07-16,0.000
1985-07-17,0.969
1985-07-18,0.135
1985-07-19,0.000
1985-07-20,0.004
1985-07-21,0.028
1985-07-22,0.000
1985-07-23,0.020
1985-07-24,2.189
1985-07-25,0.926
1985-07-26,0.000
1985-07-27,0.000
1985-07-28,0.000
1985-07-29,0.000
1985-07-30,0.150
1985-07-31,4.722
1985-08-01,4.722
1985-08-02,0.000
1985-08-03,0.001
1985-08-04,1.225
1985-08-05,0.001
1985-08-06,0.003
1985-08-07,0.031
1985-08-08,0.479
1985-08-09,0.630
1985-08-10,6.286
1985-08-11,7.773
1985-08-12,5.642
1985-08-13,14.708
1985-08-14,1.344
1985-08-15,1.487
1985-08-16,0.767
1985-08-17,5.835
1985-08-18,0.008
1985-08-19,0.062
1985-08-20,0.267
1985-08-21,5.238
1985-08-22,0.593
1985-08-23,2.675
1985-08-24,0.014
1985-08-25,0.019
1985-08-26,4.849
1985-08-27,0.381
1985-08-28,0.001
1985-08-29,7.965
1985-08-30,2.938
1985-08-31,0.000
1985-09-01,0.780
1985-09-02,3.635
1985-09-03,0.008
1985-09-04,1.138
1985-09-05,0.015
1985-09-06,2.095
1985-09-07,10.717
1985-09-08,4.133
1985-09-09,1.997
1985-09-10,0.137
1985-09-11,0.040
1985-09-12,0.093
1985-09-13,0.189
1985-09-14,1.542
1985-09-15,9.851
1985-09-16,3.175
1985-09-17,1.809
1985-09-18,0.065
1985-09-19,1.485
1985-09-20,3.214
1985-09-21,3.281
1985-09-22,0.239
1985-09-23,0.925
1985-09-24,3.351
1985-09-25,6.565
1985-09-26,0.002
1985-09-27,3.112
1985-09-28,2.191
1985-09-29,0.021
1985-09-30,1.355
1985-10-01,0.293
1985-10-02,0.017
1985-10-03,1.358
1985-10-04,0.788
1985-10-05,0.000
1985-10-06,0.042
1985-10-07,3.874
1985-10-08,0.953
1985-10-09,3.034
1985-10-10,0.068
1985-10-11,0.651
1985-10-12,0.028
1985-10-13,0.127
1985-10-14,0.236
1985-10-15,0.007
1985-10-16,0.084
1985-10-17,0.032
1985-10-18,2.683
1985-10-19,0.068
1985-10-20,0.000
1985-10-21,0.003
1985-10-22,0.213
1985-10-23,0.964
1985-10-24,1.174
1985-10-25,0.117
1985-10-26,0.074
1985-10-27,0.000
1985-10-28,0.002
1985-10-29,0.024
1985-10-30,0.271
1985-10-31,0.583
1985-11-01,1.345
1985-11-02,2.284
1985-11-03,2.535
1985-11-04,0.024
1985-11-05,0.000
1985-11-06,0.000
1985-11-07,0.000
1985-11-08,0.000
1985-11-09,0.000
1985-11-10,0.664
1985-11-11,4.653
1985-11-12,2.634
1985-11-13,0.987
1985-11-14,0.252
1985-11-15,0.016
1985-11-16,0.025
1985-11-17,16.554
1985-11-18,0.097
1985-11-19,0.015
1985-11-20,0.002
1985-11-21,0.000
1985-11-22,0.000
1985-11-23,0.032
1985-11-24,0.010
1985-11-25,0.000
1985-11-26,0.001
1985-11-27,0.003
1985-11-28,0.002
1985-11-29,0.000
1985-11-30,0.000
1985-12-01,0.000
1985-12-02,0.000
1985-12-03,0.000
1985-12-04,0.000
1985-12-05,0.160
1985-12-06,0.004
1985-12-07,0.066
1985-12-08,0.001
1985-12-09,0.006
1985-12-10,0.510
1985-12-11,0.012
1985-12-12,1.444
1985-12-13,0.175
1985-12-14,0.012
1985-12-15,0.098
1985-12-16,1.082
1985-12-17,1.027
1985-12-18,0.003
1985-12-19,1.233
1985-12-20,2.114
1985-12-21,0.140
1985-12-22,0.619
1985-12-23,0.840
1985-12-24,0.915
1985-12-25,0.895
1985-12-26,0.003
1985-12-27,0.004
1985-12-28,2.093
1985-12-29,0.620
1985-12-30,0.060
1985-12-31,0.008
